id_commune;id_year;decile_1_revenu;decile_9_revenu;ratio_deciles
69123;2017;11090.0;45810.0;4.1
69123;2018;11280.0;47280.0;4.2
69123;2019;11330.0;47240.0;4.2
69123;2020;11610.0;47220.0;4.1
69123;2021;11720.0;49320.0;4.2
69124;2014;;;
69124;2015;;;
69124;2016;;;
69124;2017;;;
69124;2018;;;
69124;2019;;;
69124;2020;;;
69124;2021;;;
69125;2014;;;
69125;2015;;;
69125;2016;;;
69125;2017;;;
69125;2018;;;
69125;2019;;;
69125;2020;;;
69125;2021;;;
69126;2014;;;
69126;2015;;;
69126;2016;;;
69126;2017;;;
69126;2018;;;
69126;2019;;;
69126;2020;;;
69126;2021;;;
69127;2014;13632.6666666667;45081.0;3.30683652012323
69127;2015;14423.0;45705.2380952381;3.16891340880802
69127;2016;14772.2222222222;45310.8333333333;3.06729973674314
69127;2017;15630.0;46580.0;3.0
69127;2018;15820.0;49530.0;3.1
69127;2019;15390.0;47820.0;3.1
69127;2020;15390.0;49430.0;3.2
69127;2021;15630.0;50490.0;3.2
69130;2014;;;
69130;2015;;;
