commune_id;candidate_id;candidate_slot;numero_panneau;sexe;nom;prenom;voix;pct_voix_ins;pct_voix_exp;extraction_source_url;ingestion_timestamp;source_file_name
69_096;2_LE PEN_Marine;.1;2;F;LE PEN;Marine;1470;25.58;41.73;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
69_097;2_LE PEN_Marine;.1;2;F;LE PEN;Marine;247;38.0;51.35;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
69_098;2_LE PEN_Marine;.1;2;F;LE PEN;Marine;178;50.57;66.42;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
69_099;2_LE PEN_Marine;.1;2;F;LE PEN;Marine;398;40.28;55.59;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
69_100;2_LE PEN_Marine;.1;2;F;LE PEN;Marine;1666;26.22;37.01;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
69_102;2_LE PEN_Marine;.1;2;F;LE PEN;Marine;216;37.83;54.27;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
69_103;2_LE PEN_Marine;.1;2;F;LE PEN;Marine;203;29.64;39.65;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
69_104;2_LE PEN_Marine;.1;2;F;LE PEN;Marine;111;34.47;47.84;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
69_105;2_LE PEN_Marine;.1;2;F;LE PEN;Marine;228;27.7;35.4;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
69_106;2_LE PEN_Marine;.1;2;F;LE PEN;Marine;298;31.57;39.06;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
69_107;2_LE PEN_Marine;.1;2;F;LE PEN;Marine;293;38.6;52.98;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
69_108;2_LE PEN_Marine;.1;2;F;LE PEN;Marine;264;35.01;47.83;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
69_109;2_LE PEN_Marine;.1;2;F;LE PEN;Marine;240;34.73;48.1;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
69_110;2_LE PEN_Marine;.1;2;F;LE PEN;Marine;498;34.61;46.8;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
69_111;2_LE PEN_Marine;.1;2;F;LE PEN;Marine;167;33.33;43.72;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
69_112;2_LE PEN_Marine;.1;2;F;LE PEN;Marine;1234;24.24;32.92;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
69_113;2_LE PEN_Marine;.1;2;F;LE PEN;Marine;161;26.48;36.34;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
69_115;2_LE PEN_Marine;.1;2;F;LE PEN;Marine;936;27.59;38.77;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
69_116;2_LE PEN_Marine;.1;2;F;LE PEN;Marine;698;25.54;33.49;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
69_117;2_LE PEN_Marine;.1;2;F;LE PEN;Marine;618;24.24;32.14;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
69_118;2_LE PEN_Marine;.1;2;F;LE PEN;Marine;769;39.13;54.97;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
69_119;2_LE PEN_Marine;.1;2;F;LE PEN;Marine;300;43.86;57.03;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
69_120;2_LE PEN_Marine;.1;2;F;LE PEN;Marine;148;34.26;44.71;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
69_121;2_LE PEN_Marine;.1;2;F;LE PEN;Marine;633;29.14;40.06;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
69_122;2_LE PEN_Marine;.1;2;F;LE PEN;Marine;495;31.25;40.67;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
69_123;2_LE PEN_Marine;.1;2;F;LE PEN;Marine;41643;14.22;20.2;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
69_124;2_LE PEN_Marine;.1;2;F;LE PEN;Marine;119;30.59;42.81;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
69_125;2_LE PEN_Marine;.1;2;F;LE PEN;Marine;208;26.36;34.9;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
69_126;2_LE PEN_Marine;.1;2;F;LE PEN;Marine;169;25.3;32.69;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
69_127;2_LE PEN_Marine;.1;2;F;LE PEN;Marine;511;21.52;29.2;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
69_130;2_LE PEN_Marine;.1;2;F;LE PEN;Marine;79;41.36;54.11;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
